Unnamed: 0,rating,industry,content,masked_subcat,masked_keyword,catering|environment,catering|price,catering|cusine,catering|service,hotel|environment,hotel|price,hotel|service,attraction|environment,attraction|price,attraction|transportation,banking_finance_insurance|product,banking_finance_insurance|service,banking_finance_insurance|price,industry_granular,explaination,sentiment_score,sentiment_label,path_keywords_dict,path_counts,path_list,true_label_array,false_label_array,Got Correct,Accuracy,is_marked,Unnamed: 28,Unnamed: 29
183394,4,attraction,i bought a lot of food and snacks from this place people were quite friendly and helpful sadly i was not able to shop for other stuff as i was in a hurry ,['price'],['bought'],0,0,0,0,0,0,0,0,1,0,0,0,0,attraction|price,"[""\n  Attributes: The customer was able to purchase a lot of food and snacks at a reasonable price, which likely contributed to the positive sentiment.\n\n- Analyzing '('attraction', 'service')' (mentioned 1 times): \n  Keywords: ['friendly', 'helpful']\n  Attributes: The customer experienced friendly and helpful service, which likely contributed to the positive sentiment.\n\n- Analyzing '('attraction', 'convenience')' (mentioned 1""]",4,positive,"defaultdict(<class 'list'>, {('attraction', 'price', 'others'): ['bought']})","Counter({('attraction', 'price', 'others'): 1})","[{'path': ('attraction', 'price'), 'count': 1, 'keywords': ['bought']}]","[(""attraction, price""):""""]","[('attraction, environment': ''), ('attraction, transportation': '')]",,,,,
163205,3,attraction,tram sign is not eye catching when aboard passengers need to ask where the location to aboard when we arrived to happy valley tram station we have to wait over 15 mins to go onward ,"['price', 'transportation']","['pass', 'mins', 'passengers', 'passenger', 'tram station', 'station', 'aboard', 'min']",0,0,0,0,0,0,0,0,1,1,0,0,0,attraction|price,"[""\n  Attributes: The review mentions that the tram sign is not eye-catching, which could lead to confusion for passengers when trying to find the right station. Additionally, the review states that passengers had to wait over 15 minutes to go onward, which could be a source of frustration and dissatisfaction. \n\n- Analyzing '('happy valley', 'location')' (mentioned 2 times): \n  Keywords: ['happy valley', 'location']\n  Attributes: The review mentions that"", '\n  Attributes: The review mentions that passengers had to wait over 15 minutes to go onward, which could be a source of frustration and dissatisfaction. Additionally, the review does not mention any pricing information, which could be a factor in the overall sentiment. \n\nOverall, the review expresses a negative sentiment due to the lack of eye-catching signage, the long wait time, and the lack of pricing information. These factors could lead to confusion and frustration for passengers, which could contribute to the overall']",3,negative,"defaultdict(<class 'list'>, {('attraction', 'transportation', 'shuttle bus'): ['tram station'], ('attraction', 'transportation', 'others'): ['station', 'aboard', 'passengers', 'passenger'], ('attraction', 'price', 'others'): ['min', 'pass', 'mins']})","Counter({('attraction', 'transportation', 'others'): 4, ('attraction', 'price', 'others'): 3, ('attraction', 'transportation', 'shuttle bus'): 1})","[{'path': ('attraction', 'transportation'), 'count': 5, 'keywords': ['station', 'tram station', 'aboard', 'passenger', 'passengers']}, {'path': ('attraction', 'price'), 'count': 3, 'keywords': ['pass', 'mins', 'min']}]","[(""attraction, transportation""):"""", (""attraction, price""):""""]","[('attraction, environment': '')]",,,,,
165170,5,attraction,very nice shopping mall with great variety of of shops and restaurants there is the new part and old part you need a good 2 to 3 hours to spend here if you want to shop and buy the restaurants selections are great and there is a big supermarket at the bottom level one mall for all ,"['price', 'environment']","['art', 'buy', 'variety', 'want', 'market', 'selection', 'level']",0,0,0,0,0,0,0,1,1,0,0,0,0,attraction|price,"[""\n  Attributes: The mall has a great variety of shops and restaurants, with both a new and old part. This provides a unique and interesting environment for shoppers to explore. The selection of restaurants is also impressive, providing a wide range of options for customers.\n\n- Analyzing '('convenience', 'accessibility')' (mentioned 1 time): \n  Keywords: ['supermarket']\n  Attributes: The mall also has a large supermarket at the bottom level, making"", '\n  Attributes: The mall offers a great variety of shops and restaurants at a reasonable price, making it an attractive option for shoppers who want to buy something. The large supermarket at the bottom level also provides a convenient and accessible option for customers.']",5,positive,"defaultdict(<class 'list'>, {('attraction', 'environment', 'attraction'): ['art', 'selection'], ('attraction', 'price', 'others'): ['level', 'market', 'buy', 'want'], ('attraction', 'price', 'package'): ['variety']})","Counter({('attraction', 'price', 'others'): 4, ('attraction', 'environment', 'attraction'): 2, ('attraction', 'price', 'package'): 1})","[{'path': ('attraction', 'environment'), 'count': 2, 'keywords': ['art', 'selection']}, {'path': ('attraction', 'price'), 'count': 5, 'keywords': ['market', 'level', 'buy', 'variety', 'want']}]","[(""attraction, environment""):"""", (""attraction, price""):""""]","[('attraction, transportation': '')]",,,,,
164598,4,attraction,the jade that i found in hong kong comes in different colors and forms such as jewelry lucky charms and figurines i also found synthetic and real jade in order to get real jade i hired a professional in chinese culture jade symbolizes beauty and purity and is believed to bring good health fortune and prosperity the shop locates at hollywood road in sheung wan it is a good place to find top quality chinese antiques from ming vases to the jade pieces hong kong has become famous for ,"['price', 'environment']","['beauty', 'symbolizes beauty', 'min']",0,0,0,0,0,0,0,1,1,0,0,0,0,attraction|price,"['\n  Attributes: The shop is located at Hollywood Road in Sheung Wan, which is a good place to find top quality Chinese antiques from Ming vases to the jade pieces Hong Kong has become famous for.\n\nThe environment of the shop is attractive and inviting, as it is located in a prime location and offers a wide selection of quality antiques. The presence of beauty is also highlighted through the symbolic meaning of jade, which is believed to bring good health, fortune, and', ""\n  Attributes: The shop offers a wide selection of jade pieces at a reasonable price.\n\nThe shop offers a wide selection of jade pieces at a reasonable price, which is attractive to customers. This allows customers to purchase quality jade pieces without breaking the bank. \n\n- Analyzing '('attraction', 'selection')' (mentioned 1 times): \n  Keywords: ['different colors', 'forms', 'synthetic', 'real']\n  Attributes""]",4,positive,"defaultdict(<class 'list'>, {('attraction', 'environment', 'others'): ['beauty'], ('attraction', 'price', 'others'): ['min'], ('attraction', 'environment', 'attraction'): ['symbolizes beauty']})","Counter({('attraction', 'environment', 'others'): 1, ('attraction', 'price', 'others'): 1, ('attraction', 'environment', 'attraction'): 1})","[{'path': ('attraction', 'environment'), 'count': 2, 'keywords': ['beauty', 'symbolizes beauty']}, {'path': ('attraction', 'price'), 'count': 1, 'keywords': ['min']}]","[(""attraction, environment""):"""", (""attraction, price""):""""]","[('attraction, transportation': '')]",,,,,
182856,4,attraction,lantau is a great destination don t miss po lin monastery and it s vip lunch a lot of folk get diverted by the big bhudda but the monastery is a treat by itself ,"['price', 'environment', 'transportation']","['destination', 'vip']",0,0,0,0,0,0,0,1,1,1,0,0,0,attraction|price,"[""\n  Attributes: convenience, accessibility\nThe review mentions that Lantau is a great destination, indicating that the convenience and accessibility of the area are attractive features. This is further reinforced by the fact that the reviewer does not mention any difficulties in getting to the Po Lin Monastery, suggesting that transportation to the area is easy and convenient. \n\n- Analyzing '('attraction', 'monastery')' (mentioned 1 times): \n  Keywords: ['Po Lin Monastery"", ""\n  Attributes: affordability, value\nThe review mentions that the Po Lin Monastery offers a VIP lunch, suggesting that the price of the meal is affordable and provides good value. This is further reinforced by the fact that the reviewer does not mention any difficulties in getting to the Po Lin Monastery, suggesting that the price of the meal is reasonable. \n\n- Analyzing '('attraction', 'scenery')' (mentioned 1 times): \n  Keywords: ['Big Bh""]",4,positive,"defaultdict(<class 'list'>, {('attraction', 'transportation', 'others'): ['destination'], ('attraction', 'price', 'others'): ['vip']})","Counter({('attraction', 'transportation', 'others'): 1, ('attraction', 'price', 'others'): 1})","[{'path': ('attraction', 'transportation'), 'count': 1, 'keywords': ['destination']}, {'path': ('attraction', 'price'), 'count': 1, 'keywords': ['vip']}]","[(""attraction, transportation""):"""", (""attraction, price""):""""]","[('attraction, environment': '')]",,,,,
176916,4,attraction,this is a main road in kowloon which has many buses and some mtr stations plus access from the airport on the bus 21 which is a good way to get to and from the airport there are a lot of hotels and shops plus many places to eat the nearby streets offer the cheaper shops and eateries where the locals and tourists eat with a lot of choices and from cheap eats upwards you can also access the jade market ladies market and temple street market from nathan road as well ,"['price', 'environment', 'transportation']","['bus', 'offer', 'buses', 'airport', 'buse', 'cheap', 'many buses', 'sts', 'market', 'station', 'many bus', 'tourist']",0,0,0,0,0,0,0,1,1,1,0,0,0,attraction|price,"[""\n  Attributes: Nathan Road provides convenient access to transportation, with many buses, MTR stations, and access to the airport via bus 21. This makes it easy for tourists to get around and explore the area.\n\n- Analyzing '('attraction', 'shopping')' (mentioned 5 times): \n  Keywords: ['hotels', 'shops', 'cheaper', 'eat', 'eateries']\n  Attributes: Nathan Road also offers a variety of"", '\n  Attributes: The nearby streets offer cheaper shops and eateries, making it an affordable option for tourists and locals alike. Additionally, the Jade Market, Ladies Market, and Temple Street Market are all accessible from Nathan Road.']",4,positive,"defaultdict(<class 'list'>, {('attraction', 'transportation', 'others'): ['tourist', 'bus', 'buses', 'airport', 'station', 'sts', 'many buses', 'many bus'], ('attraction', 'price', 'others'): ['market', 'cheap', 'offer'], ('attraction', 'transportation', 'shuttle bus'): ['buse']})","Counter({('attraction', 'transportation', 'others'): 8, ('attraction', 'price', 'others'): 3, ('attraction', 'transportation', 'shuttle bus'): 1})","[{'path': ('attraction', 'transportation'), 'count': 9, 'keywords': ['many bus', 'tourist', 'buse', 'many buses', 'station', 'sts', 'airport', 'buses', 'bus']}, {'path': ('attraction', 'price'), 'count': 3, 'keywords': ['cheap', 'offer', 'market']}]","[(""attraction, transportation""):"""", (""attraction, price""):""""]","[('attraction, environment': '')]",,,,,
160128,3,attraction,hong kong is not drab blue jackets more bicycles than cars well maybe about equal hong kong city hall is of an architecture that is modern to the eye a lot of events are held at city hall they have a flotilla of flat bottom sampans ferries on victoria harbour skyscrapers along the shore hong kong has more than 600 temples half of them buddhist one of the oldest tin hau temple you will see laundry drying outside wet markets with live animals where people shop twice a day for food a ding ding or double decker tram ,"['price', 'environment', 'transportation']","['double decker tram', 'cars', 'car', 'ferries', 'market', 'decker tram']",0,0,0,0,0,0,0,1,1,1,0,0,0,attraction|price,"[""\n  Attributes: Hong Kong has a variety of transportation options, including double decker trams, ferries, and cars. This allows for easy access to the city and its attractions, making it a convenient and attractive destination.\n\n- Analyzing '('architecture', 'city hall')' (mentioned 3 times): \n  Keywords: ['modern', 'architecture', 'city hall']\n  Attributes: Hong Kong City Hall is a modern and attractive building,"", ""\n  Attributes: Hong Kong has wet markets with live animals, where people can shop for food at a reasonable price. This makes it an attractive destination for those looking for affordable food options.\n\n- Analyzing '('attraction', 'culture')' (mentioned 3 times): \n  Keywords: ['temple', 'tin hau', 'buddhist']\n  Attributes: Hong Kong has more than 600 temples, half of which are Buddhist. This makes it a culturally""]",3,negative,"defaultdict(<class 'list'>, {('attraction', 'transportation', 'others'): ['cars', 'car', 'ferries', 'double decker tram'], ('attraction', 'price', 'others'): ['market'], ('attraction', 'transportation', 'shuttle bus'): ['decker tram']})","Counter({('attraction', 'transportation', 'others'): 4, ('attraction', 'price', 'others'): 1, ('attraction', 'transportation', 'shuttle bus'): 1})","[{'path': ('attraction', 'transportation'), 'count': 5, 'keywords': ['double decker tram', 'ferries', 'car', 'cars', 'decker tram']}, {'path': ('attraction', 'price'), 'count': 1, 'keywords': ['market']}]","[(""attraction, transportation""):"""", (""attraction, price""):""""]","[('attraction, environment': '')]",,,,,
177437,5,attraction,we casually took a ferry from aberdeen and arrived at lamma islsnd we received a fabulous welcome and fantastic choice if sea food good value ,"['price', 'environment', 'transportation']","['receive', 'ferry']",0,0,0,0,0,0,0,1,1,1,0,0,0,attraction|price,"[""\n  Attributes: convenience, affordability, reliability\nThe review mentions that the ferry from Aberdeen to Lamma Island was convenient, affordable, and reliable. This likely contributed to the overall positive sentiment expressed in the review.\n\n- Analyzing '('attraction', 'welcome')' (mentioned 1 times): \n  Keywords: ['fabulous', 'welcome']\n  Attributes: hospitality, friendliness\nThe review mentions that the welcome at Lamma Island was fabulous, indicating"", '\n  Attributes: affordability, value\nThe review mentions that the price of the food was good value, indicating that the food was affordable and of good quality. This likely contributed to the positive sentiment expressed in the review.']",5,positive,"defaultdict(<class 'list'>, {('attraction', 'transportation', 'others'): ['ferry'], ('attraction', 'price', 'special offer'): ['receive']})","Counter({('attraction', 'transportation', 'others'): 1, ('attraction', 'price', 'special offer'): 1})","[{'path': ('attraction', 'transportation'), 'count': 1, 'keywords': ['ferry']}, {'path': ('attraction', 'price'), 'count': 1, 'keywords': ['receive']}]","[(""attraction, transportation""):"""", (""attraction, price""):""""]","[('attraction, environment': '')]",,,,,
195010,3,attraction,the layout of the lounge is a bit strange there are different sections but you have to venture round and find out what is available it would have been nice if the girl at the reception can give a 10 second overview that would have been most useful i went to the noodle bar area where you can order noodles and help yourself to a few dishes on the side the food is so so can be a lot better as a business class lounge it is a bit disappointing maybe i will try a different cathay lounge next time i think there are 4 in total ,"['price', 'environment', 'transportation']","['available', 'bus', 'avail', 'busi', 'total', 'busines']",0,0,0,0,0,0,0,1,1,1,0,0,0,attraction|price,"[""\n  Attributes: The review mentions that the layout of the lounge is a bit strange, and that it would have been nice if the girl at the reception can give a 10 second overview. This suggests that the lounge lacks convenience and accessibility, which could be a contributing factor to the negative sentiment. \n\n- Analyzing '('food', 'quality')' (mentioned 3 times): \n  Keywords: ['noodle', 'dish', 'food']\n  Attributes: The"", '\n  Attributes: The review mentions that the lounge is a business class lounge, which implies that it is more expensive than other lounges. This could be a contributing factor to the negative sentiment, as the reviewer may have expected more for the price.']",3,negative,"defaultdict(<class 'list'>, {('attraction', 'transportation', 'others'): ['bus', 'busines'], ('attraction', 'price', 'others'): ['total', 'available', 'avail'], ('attraction', 'transportation', 'shuttle bus'): ['busi']})","Counter({('attraction', 'price', 'others'): 3, ('attraction', 'transportation', 'others'): 2, ('attraction', 'transportation', 'shuttle bus'): 1})","[{'path': ('attraction', 'transportation'), 'count': 3, 'keywords': ['bus', 'busi', 'busines']}, {'path': ('attraction', 'price'), 'count': 3, 'keywords': ['total', 'avail', 'available']}]","[(""attraction, transportation""):"""", (""attraction, price""):""""]","[('attraction, environment': '')]",,,,,
148329,4,attraction,the new town plaza at sha tin is an extremely high end and excessively costly shopping area with all the world famous brands under one roof it is the best place to shop for uber rich class but not for the masses ,"['price', 'transportation']",['uber'],0,0,0,0,0,0,0,0,1,1,0,0,0,attraction|price,"[""\n  Attributes: convenience, accessibility\nThe review mentions the presence of 'uber' which implies convenience and accessibility. This is likely to be a major factor in the positive sentiment expressed in the review, as it allows customers to easily access the shopping area. \n\n- Analyzing '('attraction', 'luxury')' (mentioned 1 times): \n  Keywords: ['world famous brands', 'uber rich class']\n  Attributes: exclusivity, quality\nThe review mentions""]",4,positive,"defaultdict(<class 'list'>, {('attraction', 'transportation', 'others'): ['uber']})","Counter({('attraction', 'transportation', 'others'): 1})","[{'path': ('attraction', 'transportation'), 'count': 1, 'keywords': ['uber']}]","[(""attraction, transportation""):""""]","[('attraction, environment': ''), ('attraction, price': '')]",,,,,
